ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	36	1	1	0.000000	23.694444	19.611111	13.694444	13.527778	0	11	8
2	1	2	3	0.000000	64.000000	62.000000	76.000000	76.000000	0	12	11
3	41	1	1	0.000000	13.512195	13.170732	15.853659	14.341463	0	20	24
4	3	2	2	0.000000	90.000000	56.333333	62.333333	39.333333	0	46	40
5	45	1	1	0.000000	32.844444	15.088889	26.533333	11.822222	0	37	34
6	41	1	1	0.000000	20.585366	12.317073	15.097561	10.365854	0	21	30
7	40	1	1	0.000000	21.325000	19.500000	5.700000	4.875000	0	14	10
8	35	1	2	0.000000	24.228571	22.857143	6.685714	6.171429	0	19	16
9	3	2	0	0.000000	33.333333	29.333333	14.000000	13.666667	0	17	9
10	21	1	1	0.000000	19.000000	16.476190	9.000000	8.047619	0	13	8
11	2	0	2	0.000000	46.000000	26.500000	33.000000	22.000000	0	24	23
12	14	1	1	0.000000	149.214286	54.214286	136.214286	50.571429	0	79	88
13	16	1	2	0.000000	193.125000	82.750000	195.562500	91.125000	0	95	123
14	8	2	2	0.000000	199.250000	130.750000	188.250000	123.500000	0	90	115
15	4	2	1	0.000000	179.500000	170.250000	175.000000	170.750000	0	80	103
16	1	2	1	0.000000	159.000000	155.000000	157.000000	155.000000	0	66	84
17	1	2	1	0.000000	133.000000	130.000000	131.000000	129.000000	0	54	74
18	3	1	1	0.000000	121.000000	120.333333	111.333333	110.666667	0	51	66
19	3	1	2	0.000000	130.333333	116.000000	125.666667	110.666667	0	58	76
20	5	1	2	0.000000	160.400000	109.800000	164.400000	114.400000	0	71	90
21	7	2	2	0.000000	190.285714	82.000000	185.714286	87.142857	0	77	102
22	118	1	1	0.000000	24.974576	19.932203	27.881356	21.449153	0	36	32
23	33	1	1	0.000000	20.030303	19.727273	21.030303	19.757576	0	7	10
24	16	1	2	0.000000	11.187500	8.500000	19.062500	18.562500	0	11	19
25	1	2	2	0.000000	27.000000	26.000000	35.000000	35.000000	0	10	11
26	1	1	1	0.000000	78.000000	41.000000	90.000000	57.000000	0	27	25
27	1	3	2	0.000000	586.000000	20.000000	709.000000	28.000000	0	33	36
28	8	1	1	0.000000	11.125000	9.750000	19.375000	19.250000	0	5	10
29	21	1	1	0.000000	16.238095	16.238095	15.380952	14.523810	0	14	7
30	41	1	1	0.000000	32.121951	21.097561	33.536585	21.951220	0	29	23
31	27	2	2	0.000000	53.925926	51.370370	60.333333	58.777778	0	34	28
32	4	0	2	0.000000	22.000000	21.000000	34.250000	34.250000	0	16	18
33	12	1	1	0.000000	67.833333	62.166667	57.916667	55.250000	0	31	22
34	2	2	3	0.000000	321.500000	68.000000	302.000000	65.500000	0	91	89
35	9	1	2	0.000000	321.555556	70.222222	309.333333	72.777778	0	96	94
36	1	1	1	0.000000	16.000000	16.000000	23.000000	23.000000	0	6	12
37	12	1	2	0.000000	53.916667	50.333333	65.166667	61.750000	0	28	38
38	2	2	1	0.000000	253.500000	240.500000	248.500000	231.000000	0	79	81
39	20	2	2	0.000000	81.250000	23.950000	74.650000	22.900000	0	71	69
40	3	1	1	0.000000	78.666667	21.333333	55.000000	14.666667	0	32	20
41	408	0	2	0.000000	15.352941	13.321078	17.085784	14.737745	0	70	82
42	47	1	1	0.000000	16.659574	15.468085	21.063830	17.765957	0	11	15
43	20	1	2	0.000000	26.300000	25.600000	44.200000	43.400000	0	26	34
44	21	1	1	0.000000	24.190476	23.809524	6.952381	6.952381	0	21	1
45	2	2	2	0.000000	46.000000	46.000000	34.500000	33.000000	0	22	19
46	37	1	1	0.000000	22.675676	21.108108	7.918919	7.351351	0	32	9
47	34	1	1	0.000000	16.823529	16.235294	17.500000	16.441176	0	11	15
48	15	2	1	0.000000	50.933333	33.133333	33.000000	22.866667	0	41	21
49	4	2	1	0.000000	183.000000	56.000000	180.750000	62.750000	0	61	84
50	3	2	1	0.000000	173.000000	54.666667	167.666667	64.333333	0	25	34
51	14	1	1	0.000000	22.357143	20.214286	25.285714	25.285714	0	10	19
52	36	1	1	0.000000	24.916667	18.944444	21.666667	17.000000	0	19	19
53	4	2	2	0.000000	51.750000	26.500000	48.250000	26.250000	0	18	19
54	36	1	1	0.000000	25.472222	15.916667	21.166667	12.111111	0	19	19
55	5	1	0	0.000000	19.400000	15.200000	24.800000	18.000000	0	13	17
56	15	1	1	0.000000	65.866667	62.266667	77.266667	66.866667	0	28	48
57	17	2	2	0.000000	120.411765	48.058824	148.470588	61.176471	0	47	70
58	30	2	1	0.000000	105.900000	90.033333	111.733333	91.900000	0	56	72
59	14	1	1	0.000000	43.142857	40.714286	42.357143	36.785714	0	28	33
60	33	1	1	0.000000	29.787879	18.515152	36.424242	22.484848	0	12	21
61	3	2	2	0.000000	323.000000	84.333333	325.000000	92.333333	0	103	98
62	23	1	1	0.000000	13.043478	7.043478	12.434783	6.173913	0	9	9
63	1	3	1	0.000000	184.000000	15.000000	172.000000	10.000000	0	80	75
64	14	1	1	0.000000	13.857143	12.714286	12.285714	9.071429	0	9	6
65	1	1	2	0.000000	269.000000	149.000000	247.000000	152.000000	0	95	91
66	7	0	1	0.000000	29.428571	16.857143	35.000000	20.571429	0	14	18
67	97	0	0	0.000000	12.876289	12.010309	6.938144	6.721649	0	16	25
68	2	0	0	0.000000	26.500000	23.500000	27.000000	25.000000	0	16	15
69	4	2	0	0.000000	39.000000	39.000000	37.750000	35.500000	0	19	24
70	39	1	1	0.000000	18.717949	16.179487	11.615385	11.615385	0	14	11
71	7	1	2	0.000000	41.857143	39.000000	19.571429	19.428571	0	26	8
72	3	1	2	0.000000	53.333333	51.000000	25.666667	24.333333	0	35	13
73	8624	1	0	0.000000	12.832212	2.057050	11.045918	2.184485	0	802	521
74	13	1	1	0.000000	16.846154	16.153846	16.923077	16.615385	0	11	16
75	9	1	2	0.000000	150.444444	58.555556	148.111111	57.777778	0	77	81
76	5	1	2	0.000000	161.600000	113.800000	164.000000	117.600000	0	77	93
77	435	0	0	0.000000	16.259770	13.882759	17.149425	14.717241	0	66	76
78	3	2	1	0.000000	59.666667	52.666667	66.666667	56.666667	0	35	25
79	43	1	1	0.000000	20.790698	18.837209	15.232558	12.674419	0	23	9
80	4	0	0	0.000000	26.750000	25.750000	32.750000	31.500000	0	13	14
81	10	2	1	0.000000	179.400000	172.400000	187.800000	180.900000	0	78	79
82	3	1	2	0.000000	126.666667	47.666667	131.333333	44.000000	0	50	60
83	1	2	2	0.000000	314.000000	71.000000	309.000000	67.000000	0	73	79
84	3	1	1	0.000000	294.333333	71.666667	275.333333	67.333333	0	75	78
85	2	1	1	0.000000	301.000000	71.000000	278.000000	65.500000	0	85	84
86	1	3	1	0.000000	319.000000	185.000000	314.000000	196.000000	0	87	95
87	33	1	1	0.000000	15.939394	15.545455	13.151515	13.151515	0	18	25
88	47	1	1	0.000000	11.361702	8.319149	10.957447	7.404255	0	13	11
89	5254	2	1	0.000000	15.618005	13.445565	15.953940	13.634183	0	565	542
90	44	1	0	0.000000	14.090909	12.613636	4.863636	3.750000	0	12	8
91	94	1	2	0.000000	15.510638	14.510638	8.617021	7.127660	0	22	25
92	1	1	1	0.000000	36.000000	36.000000	41.000000	41.000000	0	21	17
93	6	2	2	0.000000	84.833333	43.500000	106.000000	49.500000	0	36	38
94	1	1	1	0.000000	59.000000	59.000000	79.000000	79.000000	0	24	26
95	5	2	2	0.000000	101.000000	101.000000	121.400000	120.000000	0	40	49
96	17	3	1	0.000000	75.058824	43.882353	100.352941	55.529412	0	31	37
97	4	1	1	0.000000	57.000000	36.500000	65.250000	32.500000	0	23	19
98	3	1	2	0.000000	80.666667	35.333333	94.000000	35.000000	0	30	31
99	1	1	1	0.000000	27.000000	27.000000	25.000000	25.000000	0	14	13
100	6	1	1	0.000000	16.166667	16.166667	6.333333	6.333333	0	7	7
101	1	1	1	0.000000	43.000000	43.000000	47.000000	47.000000	0	21	16
102	1	2	2	0.000000	78.000000	78.000000	87.000000	87.000000	0	31	29
