ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	36	1	1	0.000000	23.694444	19.611111	0.000000	0.000000	0	11	0
2	1	3	3	0.000000	64.000000	62.000000	0.000000	0.000000	0	12	0
3	41	1	1	0.000000	13.487805	13.146341	0.000000	0.000000	0	20	0
4	3	2	2	0.000000	91.666667	56.333333	0.000000	0.000000	0	46	0
5	38	1	1	0.000000	31.605263	14.894737	0.000000	0.000000	0	28	0
6	6	2	0	0.000000	18.333333	17.666667	0.000000	0.000000	0	9	0
7	16	1	1	0.000000	10.562500	9.812500	0.000000	0.000000	0	7	0
8	40	1	1	0.000000	21.475000	19.500000	0.000000	0.000000	0	14	0
9	35	1	2	0.000000	24.771429	22.857143	0.000000	0.000000	0	18	0
10	9	1	0	0.000000	31.666667	20.555556	0.000000	0.000000	0	18	0
11	6	2	2	0.000000	73.166667	40.666667	0.000000	0.000000	0	40	0
12	13	0	1	0.000000	27.000000	15.846154	0.000000	0.000000	0	20	0
13	8	2	1	0.000000	129.000000	53.750000	0.000000	0.000000	0	65	0
14	1	2	1	0.000000	113.000000	70.000000	0.000000	0.000000	0	54	0
15	12	1	2	0.000000	156.250000	140.166667	0.000000	0.000000	0	79	0
16	4	1	2	0.000000	174.250000	148.500000	0.000000	0.000000	0	84	0
17	5	1	2	0.000000	195.800000	166.000000	0.000000	0.000000	0	95	0
18	7	2	2	0.000000	205.428571	173.571429	0.000000	0.000000	0	101	0
19	2	2	1	0.000000	192.000000	142.500000	0.000000	0.000000	0	88	0
20	18	2	1	0.000000	172.055556	87.333333	0.000000	0.000000	0	87	0
21	118	1	1	0.000000	24.940678	22.449153	0.000000	0.000000	0	36	0
22	33	1	1	0.000000	20.909091	19.727273	0.000000	0.000000	0	7	0
23	102	0	2	0.000000	32.598039	24.245098	0.000000	0.000000	0	45	0
24	16	1	2	0.000000	11.187500	7.750000	0.000000	0.000000	0	11	0
25	1	2	2	0.000000	27.000000	26.000000	0.000000	0.000000	0	10	0
26	1	1	1	0.000000	78.000000	41.000000	0.000000	0.000000	0	27	0
27	1	3	2	0.000000	586.000000	20.000000	0.000000	0.000000	0	33	0
28	8	1	1	0.000000	11.125000	9.750000	0.000000	0.000000	0	5	0
29	21	1	1	0.000000	16.238095	16.238095	0.000000	0.000000	0	14	0
30	68	1	1	0.000000	40.985294	33.808824	0.000000	0.000000	0	34	0
31	578	1	1	0.000000	14.332180	12.112457	0.000000	0.000000	0	71	0
32	4	0	2	0.000000	22.000000	21.000000	0.000000	0.000000	0	16	0
33	10	2	1	0.000000	92.400000	86.600000	0.000000	0.000000	0	53	0
34	10	1	1	0.000000	67.900000	65.600000	0.000000	0.000000	0	30	0
35	2	1	3	0.000000	149.500000	29.000000	0.000000	0.000000	0	53	0
36	9	1	2	0.000000	324.666667	87.111111	0.000000	0.000000	0	96	0
37	1	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	6	0
38	14	1	2	0.000000	54.285714	50.285714	0.000000	0.000000	0	29	0
39	2	2	2	0.000000	213.000000	52.000000	0.000000	0.000000	0	58	0
40	2	1	1	0.000000	203.000000	19.000000	0.000000	0.000000	0	52	0
41	2	2	1	0.000000	256.000000	240.500000	0.000000	0.000000	0	79	0
42	16	2	1	0.000000	80.375000	23.000000	0.000000	0.000000	0	50	0
43	3	1	1	0.000000	79.000000	21.333333	0.000000	0.000000	0	32	0
44	7	0	0	0.000000	24.428571	23.714286	0.000000	0.000000	0	16	0
45	47	1	1	0.000000	16.659574	15.468085	0.000000	0.000000	0	11	0
46	24	2	1	0.000000	23.458333	23.458333	0.000000	0.000000	0	27	0
47	39	1	1	0.000000	10.692308	10.692308	0.000000	0.000000	0	11	0
48	21	1	1	0.000000	25.571429	23.809524	0.000000	0.000000	0	21	0
49	2	2	2	0.000000	49.000000	46.000000	0.000000	0.000000	0	23	0
50	34	1	2	0.000000	16.705882	16.235294	0.000000	0.000000	0	11	0
51	10	1	0	0.000000	38.200000	36.600000	0.000000	0.000000	0	25	0
52	4	2	1	0.000000	164.250000	66.500000	0.000000	0.000000	0	79	0
53	3	2	1	0.000000	154.666667	54.666667	0.000000	0.000000	0	70	0
54	14	1	1	0.000000	20.500000	20.214286	0.000000	0.000000	0	10	0
55	41	1	1	0.000000	11.682927	10.780488	0.000000	0.000000	0	9	0
56	36	1	1	0.000000	24.194444	18.833333	0.000000	0.000000	0	19	0
57	4	2	2	0.000000	51.000000	22.250000	0.000000	0.000000	0	18	0
58	20	1	1	0.000000	17.200000	16.200000	0.000000	0.000000	0	12	0
59	16	1	2	0.000000	35.812500	24.562500	0.000000	0.000000	0	18	0
60	5	1	0	0.000000	19.400000	15.200000	0.000000	0.000000	0	13	0
61	15	1	1	0.000000	64.733333	62.266667	0.000000	0.000000	0	28	0
62	17	2	2	0.000000	117.705882	51.058824	0.000000	0.000000	0	47	0
63	30	2	1	0.000000	103.533333	90.033333	0.000000	0.000000	0	56	0
64	14	1	1	0.000000	43.214286	40.714286	0.000000	0.000000	0	28	0
65	56	2	2	0.000000	23.517857	13.553571	0.000000	0.000000	0	23	0
66	33	1	1	0.000000	20.060606	16.969697	0.000000	0.000000	0	16	0
67	33	1	1	0.000000	29.787879	18.424242	0.000000	0.000000	0	12	0
68	14	1	1	0.000000	12.428571	12.428571	0.000000	0.000000	0	8	0
69	21	1	1	0.000000	13.857143	13.095238	0.000000	0.000000	0	10	0
70	1	1	2	0.000000	272.000000	149.000000	0.000000	0.000000	0	93	0
71	4	2	2	0.000000	86.000000	24.250000	0.000000	0.000000	0	46	0
72	7	0	1	0.000000	29.142857	16.857143	0.000000	0.000000	0	14	0
73	1	0	0	0.000000	19.000000	18.000000	0.000000	0.000000	0	11	0
74	2	0	0	0.000000	26.500000	23.500000	0.000000	0.000000	0	16	0
75	4	2	0	0.000000	39.000000	39.000000	0.000000	0.000000	0	19	0
76	39	1	1	0.000000	18.717949	16.179487	0.000000	0.000000	0	14	0
77	7	1	2	0.000000	40.857143	39.000000	0.000000	0.000000	0	26	0
78	6	2	2	0.000000	44.666667	42.833333	0.000000	0.000000	0	33	0
79	9	1	0	0.000000	27.666667	25.888889	0.000000	0.000000	0	35	0
80	41	1	1	0.000000	18.780488	17.439024	0.000000	0.000000	0	14	0
81	10	1	3	0.000000	42.900000	42.100000	0.000000	0.000000	0	28	0
82	1	1	2	0.000000	114.000000	114.000000	0.000000	0.000000	0	60	0
83	3	2	1	0.000000	59.000000	52.666667	0.000000	0.000000	0	35	0
84	43	1	1	0.000000	20.720930	18.837209	0.000000	0.000000	0	23	0
85	4	0	0	0.000000	31.750000	25.750000	0.000000	0.000000	0	13	0
86	10	2	1	0.000000	180.700000	172.400000	0.000000	0.000000	0	78	0
87	3	2	2	0.000000	323.333333	138.666667	0.000000	0.000000	0	91	0
88	1	3	1	0.000000	321.000000	185.000000	0.000000	0.000000	0	87	0
89	33	1	1	0.000000	15.939394	15.545455	0.000000	0.000000	0	18	0
90	3	2	1	0.000000	132.666667	127.333333	0.000000	0.000000	0	67	0
91	5	1	1	0.000000	71.800000	71.600000	0.000000	0.000000	0	37	0
92	47	1	1	0.000000	11.361702	9.425532	0.000000	0.000000	0	13	0
