ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	4332	2	2	0.000000	6.638042	6.554709	0.000000	0.000000	0	0	0
2	1806	0	2	0.000000	6.384828	6.384828	0.000000	0.000000	0	0	0
3	465	2	2	0.000000	7.490323	7.490323	0.000000	0.000000	0	0	0
4	607	2	0	0.000000	7.654036	7.110379	0.000000	0.000000	0	0	0
5	13230	1	0	0.000000	6.688284	6.429781	0.000000	0.000000	0	0	0
6	2785	2	2	0.000000	6.909156	6.519210	0.000000	0.000000	0	0	0
7	1831	2	2	0.000000	6.882032	6.882032	0.000000	0.000000	0	0	0
8	1604	2	0	0.000000	6.479426	6.479426	0.000000	0.000000	0	0	0
9	51	1	1	0.000000	10.647059	9.862745	0.000000	0.000000	0	0	0
10	870	0	0	0.000000	6.549425	6.485057	0.000000	0.000000	0	0	0
11	45	2	1	0.000000	24.444444	24.444444	0.000000	0.000000	0	0	0
12	19	2	1	0.000000	16.473684	16.473684	0.000000	0.000000	0	0	0
13	3040	1	1	0.000000	6.816776	6.708882	0.000000	0.000000	0	0	0
14	10984	2	0	0.000000	6.773489	6.595412	0.000000	0.000000	0	0	0
15	3735	0	0	0.000000	6.923427	6.923427	0.000000	0.000000	0	0	0
16	800	2	2	0.000000	7.156250	7.156250	0.000000	0.000000	0	0	0
17	2141	2	0	0.000000	6.365250	5.994395	0.000000	0.000000	0	0	0
18	2203	1	0	0.000000	7.602360	7.502497	0.000000	0.000000	0	0	0
19	516	2	2	0.000000	7.112403	7.112403	0.000000	0.000000	0	0	0
20	1026	0	2	0.000000	6.820663	6.820663	0.000000	0.000000	0	0	0
21	429	1	2	0.000000	6.550117	6.550117	0.000000	0.000000	0	0	0
22	8	2	3	0.000000	59.625000	23.125000	0.000000	0.000000	0	0	0
23	146	1	1	0.000000	9.917808	9.917808	0.000000	0.000000	0	0	0
24	1631	0	2	0.000000	6.277744	6.048437	0.000000	0.000000	0	0	0
